offence_code,#_offences,#_criminals,chapter/act,cluster,Description,,,,,,CLuster name
1008,28,28,ch_10,-,,,,,,,
1204,40,39,ch_12,-,,,,,,,
1206,51,51,ch_12,-,,,,,,,
1306,2,2,ch_13,-,,,,,,,
1307,6,6,ch_13,-,,,,,,,
1410,30,30,ch_14,-,,,,,,,
1601,11,9,ch_16,-,,,,,,,
1602,611,516,ch_16,-,,,,,,,
1603,197,189,ch_16,-,,,,,,,
1608,9,9,ch_16,-,,,,,,,
1901,21,21,ch_19,-,,,,,,,
2101,1,1,ch_21,-,,,,,,,
3003,327,307,road_traffic_act,-,,,,,,,
3161,49,33,road_traffic_act,-,,,,,,,
4001,23,23,check_Law,-,,,,,,,
4012,1036,913,environmental_code,-,,,,,,,
4015,1,1,environmental_code,-,,,,,,,
4017,1,1,Exchange_act,-,,,,,,,
4030,26,26,work_environment_act,-,,,,,,,
4042,112,110,drugs,-,,,,,,,
5003,5,5,tax_offences,-,,,,,,,
5007,12,12,Information_Act,-,,,,,,,
5032,98,89,tax_offences,-,,,,,,,
5033,12,11,tax_offences,-,,,,,,,
5042,5,5,Alcohol_act,-,,,,,,,
5044,10,10,Alcohol_act,-,,,,,,,
5050,1,1,tax_offences,-,,,,,,,
6004,1,1,only_police_investigation,-,,,,,,,
7001,1,1,only_police_investigation,-,,,,,,,
8013,3,3,environmental_code,-,,,,,,,
8014,12,11,environmental_code,-,,,,,,,
9803,4,4,ch_8,-,,,,,,,
9804,2,2,ch_8,-,,,,,,,
